endTime,msPlayed,id
2019-04-21 07:32:00+00:00,188081,3lnTnUXjwJzlXhZe8snxoo
2019-04-21 07:35:00+00:00,175845,4lzezjVUnL8AU506mCOdhT
2019-04-21 07:38:00+00:00,188272,3cMBzDRp3OkdhFYPqmxyUc
2019-04-21 07:42:00+00:00,214576,6ZfsjLmyafNDKL2KvWmkb8
2019-04-21 07:46:00+00:00,234051,4yg3BiEztuvnH27Qn8OOZv
2019-04-21 07:49:00+00:00,210000,6RmkZ03kFzGs26CD7O0iY8
2019-04-21 07:53:00+00:00,251076,5VsZd4qGOSTRdsNC0XRU1F
2019-04-21 07:57:00+00:00,211956,7ctwZqOpwIZT5HjCUyMJ2Q
2019-04-21 08:01:00+00:00,270800,7hjyCNZGwLl24ChXEEOexk
2019-04-21 08:06:00+00:00,267125,5RefB97fTcLUfZbRFolxw3
2019-04-21 08:08:00+00:00,152306,6enxDqqRS1j7iVzPI2wsnQ
2019-04-21 08:12:00+00:00,220548,4ymz9jrj3HKWBBSYeWcxqh
2019-04-21 08:14:00+00:00,148316,4YfRVvm6QAV39YH5BIJ016
2019-04-21 08:19:00+00:00,278068,1ca0bMywpfmMtg6p8xJ2oj
2019-04-21 08:23:00+00:00,242886,1JsPHM1qtqk809Z8noVyLy
2019-04-21 08:28:00+00:00,249286,289IywiZiyrXAoTd7R5UMe
2019-04-21 08:32:00+00:00,224863,5bGy2uC2zUDmveSkq6Fnoo
2019-04-21 08:35:00+00:00,184827,3335KpgBYhfxNPAZmkNist
2019-04-21 08:51:00+00:00,60188,5EimKlA308YT77RFYmLapy
2019-04-21 08:55:00+00:00,212288,5MAM4PXb95MPl2JWSlMI6L
2019-04-21 09:00:00+00:00,274426,4tF5svEAayWQ5A13ki86XT
2019-04-21 09:03:00+00:00,188965,6Q6PUsRgFVjKNEw9Q9NoK6
2019-04-21 09:06:00+00:00,210000,7wsY4UUk10aWLkTsxVo4gM
2019-04-21 09:09:00+00:00,186000,1JgZq8YejndYGcTg3U97s9
2019-04-21 09:12:00+00:00,188160,6CuTf2k8PSfw0BLUi2ie2T
2019-04-21 09:14:00+00:00,101987,7wsY4UUk10aWLkTsxVo4gM
2019-04-21 16:47:00+00:00,278068,1ca0bMywpfmMtg6p8xJ2oj
2019-04-21 16:51:00+00:00,188272,3cMBzDRp3OkdhFYPqmxyUc
2019-04-21 16:54:00+00:00,208111,5Hgh63s66Qzo9IMdJvppST
2019-04-21 16:56:00+00:00,20803,5wgUVCJvn4dKMWo23dspEy
2019-04-21 16:56:00+00:00,116784,5zNUJHvDPYTOO39jbibKlB
2019-04-21 16:58:00+00:00,114544,3lnTnUXjwJzlXhZe8snxoo
2019-04-21 17:00:00+00:00,78766,6KBOBK0FQ5Ualqvg4IBAFc
2019-04-21 18:43:00+00:00,273000,3w1hgZJiLuPDH00uQyOkce
2019-04-21 18:48:00+00:00,242886,1JsPHM1qtqk809Z8noVyLy
2019-04-21 18:51:00+00:00,219013,5IW243rLPz7bfzJDikLhgw
2019-04-21 18:54:00+00:00,154661,4YMvlMYV3hD8emKCprfb4N
2019-04-21 18:54:00+00:00,38483,5VsZd4qGOSTRdsNC0XRU1F
2019-04-21 18:55:00+00:00,49906,1aJmFVHWA4Z7fXDFXnAZhB
2019-04-21 19:00:00+00:00,300025,7zPAsqqz9M5qcpG42YUiug
2019-04-21 19:05:00+00:00,268500,57tbtcLFakbqfmBPsyfU8W
2019-04-21 19:09:00+00:00,267125,5RefB97fTcLUfZbRFolxw3
2019-04-21 19:12:00+00:00,148316,4YfRVvm6QAV39YH5BIJ016
2019-04-21 19:14:00+00:00,151222,4ymz9jrj3HKWBBSYeWcxqh
2019-04-21 19:18:00+00:00,242742,1p7IP0JMy5fuOdozeoDmnh
2019-04-21 19:24:00+00:00,270374,3oy3vJ9ze8dOJQN2SXYaMP
2019-04-21 20:59:00+00:00,12367,3oy3vJ9ze8dOJQN2SXYaMP
2019-04-21 21:00:00+00:00,5569,6enxDqqRS1j7iVzPI2wsnQ
2019-04-21 21:04:00+00:00,224270,2ay5cmmedtoJn2i8zf6ezi
2019-04-21 21:04:00+00:00,1011,2ay5cmmedtoJn2i8zf6ezi
2019-04-21 21:04:00+00:00,0,4FJQhrYrmnUnmbQyKlyHfq
2019-04-21 21:09:00+00:00,244889,4FJQhrYrmnUnmbQyKlyHfq
2019-04-21 21:21:00+00:00,261126,3wgu3Yq2tqdJH9nmUt3kfx
2019-04-21 21:25:00+00:00,232953,2JQuT1BrEKldB7p65b2yZh
2019-04-21 21:28:00+00:00,210000,6RmkZ03kFzGs26CD7O0iY8
2019-04-21 21:30:00+00:00,102337,4N8YnMrpHsxkZzvAeV5iCY
2019-04-21 21:31:00+00:00,1808,5gEA7OYFVqcY6gDvRBd3kO
2019-04-21 21:31:00+00:00,35518,5ROEgRkFQ0JihbUsfNsIWf
2019-04-21 22:40:00+00:00,192410,5ROEgRkFQ0JihbUsfNsIWf
2019-04-22 02:35:00+00:00,10042,5ROEgRkFQ0JihbUsfNsIWf
2019-04-22 02:36:00+00:00,18450,6TdHgARbMSVuftE4Lb0dHY
2019-04-22 02:40:00+00:00,248946,3mScGCzxiXA9OaHdBeuk7O
2019-04-22 02:42:00+00:00,150585,7JlIY26wUmk6XVxYKDV7dq
2019-04-22 02:47:00+00:00,271426,60wwxj6Dd9NJlirf84wr2c
2019-04-22 02:50:00+00:00,198348,4x0pbs5nyk8y8kIwLT1Nn1
2019-04-22 02:54:00+00:00,210886,6DTkTHYE9uiHXzY4YQNSTS
2019-04-22 02:58:00+00:00,275341,37mcGhHVQOGJS9HkCLzbJc
