id,name,album_id,album_name,artists,duration_ms,popularity
1H47LILEj9nGb74EPcZKWw,Champagne & Sunshine (Ellusive Remix),5ezueJ6ySu32d6BaQcwDyC,Champagne & Sunshine (Ellusive Remix),"{'4V2pR2iSd1g0RZCglrP3jn': 'PLVTINUM', '0SXgKLNtpIrH29F1vMRWzj': 'Tarro', '6gwInscSxlouXzcmENDqk4': 'Ellusive'}",184000,66
59U5NanV4SEXFTfM3qHJy7,Caramelltanzen,5faLRGav7F4a2Wlenc95zp,Caramelltanzen,{'73r19TWxqEnnFf6O1u1e92': 'Caramella Girls'},176026,33
7MwwPyZJ7UKFROj2oVnH6R,Caramelldansen,5zvb76rGpvP8oDE2n3tytx,Supergott (Speedy Mixes),{'73r19TWxqEnnFf6O1u1e92': 'Caramella Girls'},175333,66
1iLmVe9YuUpsaMEHZNNwDX,Iridescent Garden,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},172173,22
1pNJjCGt5gQLlw1dY6Nf63,Autopilot,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},195600,15
0YAfyWfe8j6kf0toeXwzzM,Lithodelphis,0WdEVJCdOGftxgF9WZwYQL,Lithodelphis,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},225043,8
3Xn5qxdVwQLAHLplx9CieR,Mangrove Motion,1TfY9H1qCLKUNqDXkBLLcI,Apotrope,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},198246,13
69lHIFitAGYUOCW99zNCuj,A Trembling Giant,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},152380,7
0tMJi6g91u2agcztHKfuTM,Soft Crash,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},247647,8
3VlEVTTEm2yd5qUEgHGEp4,Sudo,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},258899,7
6dqiCPJru2Fs2OD8MzB6jz,Message Passing,5AapVHYFyAo724Aq7ScInd,Aluco,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},127777,8
1hoF7fAkXSfMH5VFxIKK4I,50 RD,0WdEVJCdOGftxgF9WZwYQL,Lithodelphis,{'3p2Ba2IRvoi6zoJMuDs5lm': 'Jam2go'},260571,7
5KVQyvDLZTjWG0rHepocAI,Take Me Home,36bkD1IoDWM5DIbgFR5okR,The Time Is Now!,{'1l9d7B8W0IHy3LqWsxP2SH': 'Phantogram'},360520,36
6K8VQ84MqhsoakN5MjrnVR,Supercut,2B87zXm9bOWvAJdkJBTpzF,Melodrama,{'163tK9Wjr9P9DmM0AVK7lm': 'Lorde'},277506,68
